City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,shrirampur,22.7528,88.3422,25.96,69,0,2.57,IN,1667702686
308,aksehir,38.3575,31.4164,10.28,49,0,2.13,TR,1667702686
309,mazara del vallo,37.6641,12.588,19.97,61,0,12.04,IT,1667702493
310,apt,43.8833,5.4,5.99,59,49,2.39,FR,1667702687
311,beloha,-25.1667,45.05,23.4,66,99,1.56,MG,1667702687
312,lerwick,60.1545,-1.1494,8.0,80,94,0.63,GB,1667702688
313,la ronge,55.1001,-105.2842,-2.86,80,100,8.23,CA,1667702688
314,hanko,59.8333,22.95,7.81,88,100,7.37,FI,1667702689
315,korla,41.7597,86.1469,10.88,31,100,1.25,CN,1667702689
316,clyde river,70.4692,-68.5914,-12.87,61,0,7.2,CA,1667702445
317,santiago del estero,-27.7951,-64.2615,22.1,27,11,4.55,AR,1667702690
318,port lincoln,-34.7333,135.8667,23.53,46,4,3.23,AU,1667702691
319,miri,4.4148,114.0089,30.08,70,40,1.03,MY,1667702691
320,la rioja,42.25,-2.5,-0.12,27,61,3.01,ES,1667702566
321,san patricio,28.017,-97.5169,23.92,78,0,2.99,US,1667702691
322,aswan,24.0934,32.907,18.61,39,0,1.54,EG,1667702692
323,makakilo city,21.3469,-158.0858,27.18,64,75,7.2,US,1667702693
324,muisne,0.6,-80.0333,23.01,79,96,3.49,EC,1667702694
325,zvishavane,-20.3267,30.0665,21.12,69,48,1.63,ZW,1667702694
326,caravelas,-17.7125,-39.2481,22.26,70,1,4.81,BR,1667702628
327,atar,20.5169,-13.0499,23.06,13,0,2.9,MR,1667702695
328,lavrentiya,65.5833,-171.0,-0.74,92,100,13.29,RU,1667702470
329,ovalle,-30.5983,-71.2003,15.39,68,66,0.96,CL,1667702695
330,hualmay,-11.0964,-77.6139,16.68,84,0,4.2,PE,1667702696
331,kozhevnikovo,56.2589,83.9714,-2.08,60,100,4.64,RU,1667702697
332,jaisalmer,26.9147,70.9181,25.26,27,100,4.54,IN,1667702697
333,saint george,37.1041,-113.5841,13.33,36,0,0.89,US,1667702698
334,buala,-8.145,159.5921,28.72,75,76,1.96,SB,1667702699
335,conakry,9.538,-13.6773,27.27,77,6,1.19,GN,1667702700
336,malanje,-9.5402,16.341,17.7,95,100,1.87,AO,1667702701
337,yatou,37.15,122.3833,15.6,47,14,4.74,CN,1667702702
338,berlevag,70.8578,29.0864,5.0,75,100,7.72,NO,1667702437
339,manjacaze,-24.7117,33.8828,20.68,94,99,1.28,MZ,1667702703
340,husavik,66.0449,-17.3389,2.65,91,99,3.67,IS,1667702441
341,vila franca do campo,37.7167,-25.4333,15.11,80,99,1.16,PT,1667702705
342,knysna,-34.0363,23.0471,16.67,92,38,1.62,ZA,1667702705
343,chiredzi,-21.05,31.6667,22.31,76,34,2.68,ZW,1667702705
344,ilhabela,-23.7781,-45.3581,17.56,81,32,0.83,BR,1667702706
345,marzuq,14.4,46.4667,17.15,71,0,0.5,YE,1667702706
346,norman wells,65.282,-126.8329,-13.98,78,75,6.69,CA,1667702707
347,anadyr,64.75,177.4833,2.28,93,40,7.0,RU,1667702464
348,dasoguz,41.8363,59.9666,5.97,93,0,2.06,TM,1667702708
349,polunochnoye,60.8697,60.4153,-8.42,89,100,1.85,RU,1667702709
350,itaueira,-7.6033,-43.0256,22.77,91,100,2.26,BR,1667702711
351,coquimbo,-29.9533,-71.3436,13.85,82,75,1.54,CL,1667702596
352,san rafael,-34.6177,-68.3301,22.8,25,99,4.53,AR,1667702436
353,saint john,45.2727,-66.0677,14.0,100,100,4.63,CA,1667702162
354,dudinka,69.4058,86.1778,-4.1,95,100,6.44,RU,1667702511
355,tonj,7.2737,28.6822,22.73,56,33,1.22,SS,1667702714
356,bonthe,7.5264,-12.505,25.47,82,49,0.6,SL,1667702715
357,varkaus,62.3153,27.873,-0.39,97,100,4.07,FI,1667702716
358,impfondo,1.6381,18.0667,21.05,97,98,0.96,CG,1667702716
359,saldanha,-33.0117,17.9442,14.03,91,0,4.11,ZA,1667702463
360,teguldet,57.3064,88.1667,-2.26,83,99,2.66,RU,1667702718
361,miandrivazo,-19.5167,45.4667,25.25,77,46,0.37,MG,1667702719
362,grigoropolisskaya,45.2972,41.0567,3.75,89,18,2.92,RU,1667702720
363,puerto escondido,15.85,-97.0667,27.31,80,85,2.41,MX,1667702721
364,slave lake,55.2834,-114.769,-9.01,73,100,6.17,CA,1667702721
